"","district","town"
"1","大同區","南芳里"
"2","大同區","南芳里"
"3","大同區","南芳里"
"4","大同區","南芳里"
"5","大同區","南芳里"
"6","大同區","南芳里"
"7","大同區","南芳里"
"8","大同區","南芳里"
"9","士林區","福順里"
"10","士林區","福順里"
"11","士林區","福順里"
"12","士林區","福順里"
"13","士林區","福順里"
"14","士林區","福順里"
"15","南港區","成福里"
"16","內湖區","大湖里"
"17","南港區","成福里"
"18","萬華區","興德里"
"19","萬華區","興德里"
"20","萬華區","興德里"
"21","中山區","圓山里"
"22","中山區","圓山里"
"23","萬華區","忠貞里"
"24","萬華區","忠貞里"
"25","萬華區","忠貞里"
"26","南港區","玉成里"
"27","南港區","玉成里"
"28","中山區","圓山里"
"29","萬華區","興德里"
"30","萬華區","興德里"
"31","中山區","圓山里"
"32","士林區","福順里"
"33","士林區","福順里"
"34","南港區","成福里"
"35","南港區","玉成里"
"36","內湖區","大湖里"
"37","中山區","圓山里"
"38","士林區","福順里"
"39","士林區","福順里"
"40","中山區","圓山里"
"41","文山區","景行里"
"42","內湖區","大湖里"
"43","萬華區","興德里"
"44","萬華區","興德里"
"45","內湖區","大湖里"
"46","信義區","正和里"
"47","士林區","芝山里"
"48","大安區","建安里"
"49","士林區","天玉里"
"50","南港區","成福里"
"51","內湖區","金龍里"
"52","大安區","光武里"
"53","士林區","天祿里"
"54","中正區","網溪里"
"55","萬華區","忠德里"
"56","內湖區","清白里"
"57","中正區","文北里"
"58","松山區","東榮里"
"59","松山區","東榮里"
"60","信義區","正和里"
"61","士林區","天祿里"
"62","北投區","桃源里"
"63","內湖區","金湖里"
"64","士林區","天祿里"
"65","士林區","天祿里"
"66","信義區","泰和里"
"67","松山區","富錦里"
"68","松山區","東榮里"
"69","松山區","富錦里"
"70","士林區","天祿里"
"71","士林區","天祿里"
"72","士林區","天祿里"
"73","士林區","天祿里"
"74","萬華區","興德里"
"75","中山區","朱園里"
"76","松山區","復盛里"
"77","內湖區","港墘里"
"78","大安區","建安里"
"79","松山區","東榮里"
"80","大安區","建安里"
"81","大安區","建安里"
"82","內湖區","金湖里"
"83","內湖區","金湖里"
"84","萬華區","興德里"
"85","文山區","興得里"
"86","內湖區","金湖里"
"87","信義區","正和里"
"88","文山區","景行里"
"89","松山區","莊敬里"
"90","內湖區","金龍里"
"91","中山區","朱園里"
"92","內湖區","金湖里"
"93","南港區","聯成里"
"94","信義區","泰和里"
"95","文山區","景行里"
"96","文山區","景行里"
"97","士林區","天玉里"
"98","萬華區","興德里"
"99","中正區","文北里"
"100","中正區","文北里"
"101","士林區","天和里"
"102","內湖區","金湖里"
"103","內湖區","港墘里"
"104","信義區","正和里"
"105","內湖區","清白里"
"106","信義區","泰和里"
"107","松山區","東榮里"
"108","信義區","雅祥里"
"109","士林區","天和里"
"110","內湖區","西康里"
"111","中正區","網溪里"
"112","士林區","天祿里"
"113","士林區","福華里"
"114","士林區","福華里"
"115","內湖區","金龍里"
"116","中山區","朱園里"
"117","松山區","東榮里"
"118","松山區","東榮里"
"119","文山區","樟文里"
"120","南港區","聯成里"
"121","士林區","芝山里"
"122","士林區","芝山里"
"123","北投區","長安里"
"124","北投區","長安里"
"125","士林區","後港里"
"126","中山區","朱園里"
"127","內湖區","港墘里"
"128","大安區","建安里"
"129","松山區","東榮里"
"130","內湖區","港墘里"
"131","中正區","文北里"
"132","大安區","建安里"
"133","士林區","芝山里"
"134","士林區","芝山里"
"135","南港區","聯成里"
"136","萬華區","興德里"
"137","內湖區","清白里"
"138","內湖區","金龍里"
"139","士林區","葫東里"
"140","內湖區","港華里"
"141","內湖區","港華里"
"142","北投區","長安里"
"143","信義區","泰和里"
"144","松山區","東勢里"
"145","大同區","斯文里"
"146","士林區","天和里"
"147","松山區","富錦里"
"148","中正區","網溪里"
"149","北投區","長安里"
"150","內湖區","金龍里"
"151","內湖區","金龍里"
"152","松山區","東勢里"
"153","松山區","東勢里"
"154","中山區","朱園里"
"155","士林區","葫東里"
"156","士林區","葫東里"
"157","中山區","朱園里"
"158","內湖區","清白里"
"159","內湖區","清白里"
"160","南港區","聯成里"
"161","內湖區","港華里"
"162","士林區","後港里"
"163","松山區","東勢里"
"164","松山區","東勢里"
"165","松山區","莊敬里"
"166","大同區","斯文里"
"167","大同區","斯文里"
"168","士林區","芝山里"
"169","士林區","天玉里"
"170","士林區","天玉里"
"171","中正區","文北里"
"172","松山區","莊敬里"
"173","松山區","莊敬里"
"174","中正區","文北里"
"175","士林區","天和里"
"176","中正區","文北里"
"177","萬華區","福星里"
"178","大安區","義村里"
"179","士林區","天祿里"
"180",NA,NA
"181","南港區","玉成里"
"182","大安區","仁愛里"
"183","萬華區","和德里"
"184","北投區","裕民里"
"185","中山區","康樂里"
"186","士林區","永福里"
"187","內湖區","行善里"
"188","信義區","大道里"
"189","信義區","三張里"
"190","內湖區","金龍里"
"191","士林區","福林里"
"192","北投區","裕民里"
