"location","全部","兒少保護","老人保護","其他家虐","親密關係"
"北投區八仙里",18,5,3,5,5
"北投區大同里",24,2,1,8,13
"北投區大屯里",2,2,0,0,0
"北投區稻香里",15,0,0,7,8
"北投區東華里",11,0,1,5,5
"北投區豐年里",8,0,1,1,6
"北投區福興里",12,1,0,5,6
"北投區關渡里",38,2,0,21,15
"北投區湖田里",2,0,0,2,0
"北投區吉利里",8,0,1,4,3
"北投區吉慶里",15,0,2,5,8
"北投區建民里",10,2,0,2,6
"北投區開明里",30,2,2,16,10
"北投區立農里",19,1,2,8,8
"北投區立賢里",9,1,0,5,3
"北投區林泉里",18,2,1,8,7
"北投區奇岩里",27,3,0,11,13
"北投區清江里",38,3,1,13,21
"北投區泉源里",9,0,0,7,2
"北投區榮光里",21,1,2,6,12
"北投區榮華里",29,3,2,7,17
"北投區石牌里",8,0,0,3,5
"北投區桃源里",26,2,0,9,15
"北投區溫泉里",43,2,1,24,16
"北投區文化里",8,0,0,2,6
"北投區文林里",11,0,0,3,8
"北投區秀山里",11,1,1,5,4
"北投區一德里",30,3,0,15,12
"北投區永和里",41,5,6,12,18
"北投區永明里",10,1,1,4,4
"北投區永欣里",19,1,0,7,11
"北投區裕民里",25,1,2,7,15
"北投區長安里",26,1,2,11,12
"北投區振華里",29,0,1,14,14
"北投區智仁里",25,1,0,10,14
"北投區中和里",12,1,1,3,7
"北投區中心里",35,1,1,12,21
"北投區中央里",27,4,0,12,11
"北投區中庸里",18,0,4,2,12
"北投區洲美里",4,0,0,1,3
"北投區尊賢里",14,2,1,6,5
"大安區昌隆里",11,0,1,3,7
"大安區車層里",15,1,1,6,7
"大安區誠安里",17,2,0,3,12
"大安區大學里",20,1,1,9,9
"大安區德安里",15,0,0,7,8
"大安區敦安里",2,0,0,1,1
"大安區敦煌里",13,0,0,4,9
"大安區法治里",16,4,0,4,8
"大安區芳和里",18,1,1,7,9
"大安區福住里",13,2,2,5,4
"大安區古風里",9,1,0,2,6
"大安區古莊里",10,0,1,2,7
"大安區光明里",1,0,0,0,1
"大安區光武里",26,2,2,7,15
"大安區光信里",22,6,0,5,11
"大安區和安里",17,3,2,1,11
"大安區虎嘯里",12,1,5,3,3
"大安區華聲里",8,0,0,3,5
"大安區建安里",23,1,0,8,14
"大安區建倫里",15,2,0,4,9
"大安區錦安里",3,0,0,0,3
"大安區錦華里",5,1,0,0,4
"大安區錦泰里",10,1,2,1,6
"大安區黎和里",19,0,0,2,17
"大安區黎孝里",13,0,0,3,10
"大安區黎元里",20,1,3,9,7
"大安區臨江里",26,1,2,11,12
"大安區龍安里",7,0,1,3,3
"大安區龍門里",11,1,1,4,5
"大安區龍坡里",9,0,1,4,4
"大安區龍泉里",12,0,2,5,5
"大安區龍生里",36,4,1,8,23
"大安區龍圖里",18,0,1,8,9
"大安區龍淵里",17,1,1,6,9
"大安區龍雲里",9,0,0,5,4
"大安區龍陣里",14,3,0,2,9
"大安區民輝里",18,1,1,2,14
"大安區民炤里",18,3,2,2,11
"大安區全安里",17,1,0,3,13
"大安區群賢里",19,0,2,3,14
"大安區群英里",11,1,3,3,4
"大安區仁愛里",22,0,4,8,10
"大安區仁慈里",9,1,2,1,5
"大安區通安里",30,6,0,8,16
"大安區通化里",24,3,0,3,18
"大安區臥龍里",2,0,0,2,0
"大安區新龍里",17,1,4,2,10
"大安區學府里",14,4,0,8,2
"大安區義安里",26,0,4,10,12
"大安區義村里",16,0,0,6,10
"大安區永康里",4,1,0,0,3
"大安區正聲里",10,1,1,3,5
"大安區住安里",16,0,0,4,12
"大同區保安里",19,2,0,9,8
"大同區朝陽里",17,2,1,6,8
"大同區大有里",23,3,1,10,9
"大同區光能里",14,2,1,5,6
"大同區國慶里",22,1,1,16,4
"大同區國順里",18,3,1,9,5
"大同區建功里",17,3,1,6,7
"大同區建明里",21,0,3,10,8
"大同區建泰里",15,1,0,8,6
"大同區景星里",14,0,2,9,3
"大同區老師里",20,0,1,8,11
"大同區鄰江里",47,2,7,19,19
"大同區隆和里",27,2,2,9,14
"大同區民權里",22,3,1,6,12
"大同區南芳里",31,2,0,11,18
"大同區蓬萊里",22,3,1,7,11
"大同區雙連里",42,7,1,12,22
"大同區斯文里",26,0,0,11,15
"大同區星明里",32,3,2,12,15
"大同區延平里",29,0,1,9,19
"大同區揚雅里",13,0,1,5,7
"大同區永樂里",25,3,1,11,10
"大同區玉泉里",30,1,2,14,13
"大同區至聖里",33,2,2,13,16
"大同區重慶里",12,0,3,0,9
"南港區百福里",25,2,2,8,13
"南港區成福里",42,1,1,11,29
"南港區東明里",20,0,0,14,6
"南港區東新里",29,3,1,10,15
"南港區合成里",29,2,2,10,15
"南港區鴻福里",10,3,0,2,5
"南港區九如里",37,2,3,19,13
"南港區舊莊里",31,2,0,6,23
"南港區聯成里",22,0,1,10,11
"南港區南港里",20,1,3,5,11
"南港區仁福里",17,2,2,3,10
"南港區三重里",22,1,0,6,15
"南港區萬福里",6,0,0,4,2
"南港區西新里",25,4,0,8,13
"南港區新富里",18,2,2,4,10
"南港區新光里",14,1,0,3,10
"南港區玉成里",21,6,0,5,10
"南港區中南里",21,1,0,13,7
"南港區中研里",18,1,3,4,10
"南港區重陽里",13,2,0,3,8
"內湖區安湖里",26,1,0,7,18
"內湖區安泰里",31,5,4,6,16
"內湖區寶湖里",19,2,0,4,13
"內湖區碧山里",23,1,2,8,12
"內湖區大湖里",11,0,0,2,9
"內湖區東湖里",24,1,1,6,16
"內湖區港都里",16,0,1,5,10
"內湖區港富里",32,2,0,15,15
"內湖區港華里",30,1,1,12,16
"內湖區港墘里",38,1,0,11,26
"內湖區湖濱里",24,0,1,7,16
"內湖區湖興里",27,1,2,4,20
"內湖區湖元里",28,2,0,10,16
"內湖區葫洲里",31,1,1,11,18
"內湖區金湖里",18,1,2,1,14
"內湖區金龍里",21,2,0,4,15
"內湖區金瑞里",21,1,1,9,10
"內湖區康寧里",24,3,2,9,10
"內湖區樂康里",36,2,1,12,21
"內湖區麗山里",11,0,0,4,7
"內湖區蘆洲里",6,0,1,2,3
"內湖區明湖里",12,1,0,5,6
"內湖區南湖里",11,1,1,4,5
"內湖區內溝里",10,0,3,5,2
"內湖區內湖里",26,1,0,13,12
"內湖區清白里",30,1,0,8,21
"內湖區瑞光里",17,2,1,1,13
"內湖區瑞陽里",34,2,4,12,16
"內湖區石潭里",21,2,0,4,15
"內湖區五分里",49,6,1,18,24
"內湖區西安里",5,0,0,3,2
"內湖區西湖里",29,3,1,15,10
"內湖區西康里",32,1,0,11,20
"內湖區行善里",21,2,3,5,11
"內湖區秀湖里",12,1,1,3,7
"內湖區週美里",18,1,1,6,10
"內湖區紫星里",29,1,7,6,15
"內湖區紫陽里",21,0,3,5,13
"內湖區紫雲里",24,1,4,6,13
"士林區百齡里",14,1,1,5,7
"士林區承德里",11,3,1,3,4
"士林區翠山里",8,0,2,2,4
"士林區德華里",16,1,1,6,8
"士林區德行里",16,2,0,5,9
"士林區東山里",12,1,1,5,5
"士林區福安里",28,1,1,12,14
"士林區福德里",11,0,0,3,8
"士林區福華里",42,4,6,13,19
"士林區福佳里",26,1,1,11,13
"士林區福林里",15,2,0,6,7
"士林區福順里",41,6,1,15,19
"士林區福志里",18,0,1,6,11
"士林區福中里",24,0,2,9,13
"士林區富光里",22,4,3,7,8
"士林區富洲里",19,2,0,8,9
"士林區公館里",7,0,0,3,4
"士林區後港里",36,1,3,15,17
"士林區葫東里",23,3,1,8,11
"士林區葫蘆里",25,3,1,6,15
"士林區菁山里",2,0,0,1,1
"士林區舊佳里",29,2,4,12,11
"士林區蘭興里",22,1,0,12,9
"士林區蘭雅里",19,2,0,1,16
"士林區臨溪里",14,1,5,2,6
"士林區名山里",29,3,0,11,15
"士林區明勝里",34,2,1,14,17
"士林區平等里",2,0,0,0,2
"士林區前港里",20,1,1,6,12
"士林區仁勇里",11,0,0,5,6
"士林區三玉里",14,5,0,4,5
"士林區社新里",51,5,2,19,25
"士林區社園里",35,6,2,13,14
"士林區社子里",28,2,2,16,8
"士林區聖山里",24,0,0,13,11
"士林區天福里",14,2,1,2,9
"士林區天和里",30,3,2,8,17
"士林區天祿里",24,1,2,7,14
"士林區天母里",23,3,1,7,12
"士林區天山里",22,1,2,8,11
"士林區天壽里",16,3,0,5,8
"士林區天玉里",39,7,0,6,26
"士林區溪山里",4,0,0,2,2
"士林區新安里",2,0,0,0,2
"士林區岩山里",8,0,0,3,5
"士林區陽明里",7,0,1,2,4
"士林區義信里",11,1,1,3,6
"士林區永福里",9,1,1,5,2
"士林區永倫里",39,2,2,14,21
"士林區芝山里",35,1,3,13,18
"士林區忠誠里",20,1,4,6,9
"松山區安平里",38,4,2,12,20
"松山區慈祐里",35,3,0,9,23
"松山區東昌里",2,0,1,0,1
"松山區東光里",30,2,1,6,21
"松山區東榮里",23,5,1,10,7
"松山區東勢里",11,1,1,5,4
"松山區敦化里",15,0,2,7,6
"松山區福成里",11,0,0,4,7
"松山區富錦里",15,2,0,2,11
"松山區富泰里",22,1,3,8,10
"松山區復建里",11,2,0,5,4
"松山區復盛里",34,2,0,15,17
"松山區復勢里",16,2,3,3,8
"松山區復源里",7,2,0,0,5
"松山區吉仁里",20,0,1,8,11
"松山區吉祥里",39,1,4,14,20
"松山區介壽里",17,0,0,3,14
"松山區精忠里",12,0,0,5,7
"松山區龍田里",21,1,1,6,13
"松山區美仁里",9,1,0,0,8
"松山區民福里",32,2,2,13,15
"松山區民有里",14,0,3,2,9
"松山區鵬程里",11,0,2,3,6
"松山區三民里",18,0,1,6,11
"松山區松基里",8,2,0,2,4
"松山區新東里",22,2,0,9,11
"松山區新聚里",19,0,0,4,15
"松山區新益里",16,1,1,8,6
"松山區中華里",8,0,1,4,3
"松山區中崙里",13,0,0,5,8
"松山區中正里",22,1,1,5,15
"松山區莊敬里",34,0,7,15,12
"松山區自強里",26,2,1,13,10
"萬華區保德里",5,0,0,3,2
"萬華區菜園里",21,3,0,6,12
"萬華區頂碩里",28,0,0,11,17
"萬華區福星里",26,1,0,8,17
"萬華區福音里",8,1,1,1,5
"萬華區富福里",18,2,0,5,11
"萬華區富民里",18,0,0,6,12
"萬華區和德里",65,8,3,15,39
"萬華區和平里",24,1,1,9,13
"萬華區華江里",33,3,6,10,14
"萬華區華中里",22,2,2,7,11
"萬華區錦德里",28,3,2,9,14
"萬華區凌霄里",15,1,1,8,5
"萬華區柳鄉里",18,2,3,6,7
"萬華區綠堤里",25,4,2,8,11
"萬華區銘德里",18,2,1,7,8
"萬華區青山里",21,1,3,3,14
"萬華區全德里",21,0,0,8,13
"萬華區仁德里",12,0,1,5,6
"萬華區日善里",27,5,2,11,9
"萬華區日祥里",18,1,5,3,9
"萬華區榮德里",14,2,1,5,6
"萬華區壽德里",28,1,0,10,17
"萬華區雙園里",18,2,0,7,9
"萬華區糖?里",15,2,1,4,8
"萬華區騰雲里",5,0,0,3,2
"萬華區萬壽里",25,3,0,2,20
"萬華區西門里",12,1,1,1,9
"萬華區孝德里",20,0,1,8,11
"萬華區新安里",24,2,1,9,12
"萬華區新和里",25,2,2,9,12
"萬華區新起里",17,1,0,3,13
"萬華區新忠里",12,3,1,2,6
"萬華區興德里",30,0,3,9,18
"萬華區忠德里",20,3,0,7,10
"萬華區忠貞里",23,5,2,4,12
"文山區博嘉里",29,5,0,12,12
"文山區華興里",31,3,2,10,16
"文山區景東里",18,1,1,8,8
"文山區景華里",18,1,2,8,7
"文山區景美里",7,1,1,2,3
"文山區景慶里",21,3,0,7,11
"文山區景仁里",15,2,0,7,6
"文山區景行里",21,2,3,3,13
"文山區老泉里",5,1,0,1,3
"文山區明興里",26,3,0,10,13
"文山區明義里",50,3,2,20,25
"文山區木柵里",25,3,1,13,8
"文山區木新里",33,1,5,16,11
"文山區試院里",36,3,7,11,15
"文山區順興里",48,6,5,17,20
"文山區萬芳里",32,5,2,13,12
"文山區萬和里",8,0,2,0,6
"文山區萬隆里",22,2,0,9,11
"文山區萬美里",32,2,7,10,13
"文山區萬年里",9,0,0,5,4
"文山區萬盛里",14,0,3,6,5
"文山區萬祥里",25,3,2,10,10
"文山區萬興里",25,6,3,9,7
"文山區萬有里",5,1,0,1,3
"文山區興安里",18,0,1,9,8
"文山區興邦里",22,1,6,5,10
"文山區興昌里",21,1,1,6,13
"文山區興得里",25,0,0,9,16
"文山區興豐里",25,1,0,13,11
"文山區興福里",29,4,2,9,14
"文山區興光里",26,1,0,8,17
"文山區興家里",26,1,0,8,17
"文山區興泰里",11,0,2,3,6
"文山區興旺里",33,1,2,13,17
"文山區興業里",18,0,0,7,11
"文山區樟腳里",23,4,2,12,5
"文山區樟林里",11,1,1,3,6
"文山區樟樹里",17,2,1,4,10
"文山區樟文里",25,3,1,8,13
"文山區樟新里",21,3,0,7,11
"文山區政大里",14,0,1,4,9
"文山區指南里",25,3,2,11,9
"文山區忠順里",16,0,3,2,11
"信義區安康里",20,1,3,7,9
"信義區大道里",25,2,5,10,8
"信義區大仁里",18,2,2,8,6
"信義區敦厚里",20,1,1,4,14
"信義區富台里",17,4,1,6,6
"信義區廣居里",19,1,2,8,8
"信義區國業里",20,2,1,4,13
"信義區惠安里",18,1,0,9,8
"信義區嘉興里",7,0,1,2,4
"信義區景聯里",26,3,1,8,14
"信義區景勤里",17,1,2,8,6
"信義區景新里",20,1,0,8,11
"信義區黎安里",11,2,0,1,8
"信義區黎平里",28,2,3,8,15
"信義區黎順里",14,1,0,8,5
"信義區黎忠里",16,0,1,6,9
"信義區六合里",25,2,3,11,9
"信義區六藝里",8,1,2,1,4
"信義區三犁里",20,3,0,6,11
"信義區三張里",32,6,1,13,12
"信義區雙和里",24,1,1,8,14
"信義區四維里",8,2,4,0,2
"信義區四育里",23,1,0,10,12
"信義區松光里",14,1,3,6,4
"信義區松隆里",15,2,0,7,6
"信義區松友里",30,1,2,13,14
"信義區泰和里",33,2,3,14,14
"信義區五常里",17,2,1,3,11
