"","town","avg_predict"
"1","愛國里",1.17581666666667
"2","安湖里",1.23463354061296
"3","安康里",1.31384342437897
"4","安平里",1.18659074326001
"5","安泰里",1.28322116832443
"6","八仙里",1.32740316300873
"7","百福里",1.35909076410588
"8","百齡里",1.24795314994989
"9","板溪里",1.29789754920954
"10","保安里",1.34095443682003
"11","保德里",1.2575
"12","寶湖里",1.18428322636959
"13","北安里",1.17476666666667
"14","碧山里",1.29202295052389
"15","博嘉里",1.34999956458383
"16","菜園里",1.26569579642424
"17","昌隆里",1.30851632177346
"18","朝陽里",1.19555314508724
"19","車層里",1.39026558580309
"20","成福里",1.37706168962802
"21","成功里",1.19066815476628
"22","承德里",1.30247922768494
"23","誠安里",1.29453385911891
"24","慈祐里",1.21499160703525
"25","翠山里",1.31046855647372
"26","大道里",1.27666887669486
"27","大湖里",1.43963191434028
"28","大仁里",1.23451767756053
"29","大同里",1.24817276517056
"30","大學里",1.25958001878362
"31","大有里",1.31037863313724
"32","大直里",1.32885409452797
"33","稻香里",1.28276897678456
"34","德安里",1.21510091918331
"35","德華里",1.21195754227617
"36","德行里",1.27753734074567
"37","頂東里",1.18657894726047
"38","頂碩里",1.3141385420984
"39","東昌里",1.28673333333333
"40","東光里",1.24002738065546
"41","東湖里",1.31499268077963
"42","東華里",1.15972354435845
"43","東門里",1.42129548876412
"44","東明里",1.20829793373181
"45","東榮里",1.6452160862847
"46","東山里",1.43565349206349
"47","東勢里",1.60665368026625
"48","東新里",1.33854719095653
"49","敦安里",1.13062063492063
"50","敦厚里",1.20292305540129
"51","敦化里",1.26324974779649
"52","敦煌里",1.31801907536908
"53","法治里",1.33939505580424
"54","芳和里",1.29355514045422
"55","豐年里",1.19632031709032
"56","福安里",1.17204522897446
"57","福成里",1.23548709085033
"58","福德里",1.25480903361345
"59","福華里",1.32887665410418
"60","福佳里",1.27460370625751
"61","福林里",1.44452314620917
"62","福順里",1.51174617319665
"63","福星里",1.17570316557081
"64","福興里",1.25630903232319
"65","福音里",1.32767531203365
"66","福志里",1.28956910238981
"67","福中里",1.21268541256586
"68","福住里",1.37249469882453
"69","富福里",1.29375048607534
"70","富光里",1.16230420889277
"71","富錦里",1.41925794576066
"72","富民里",1.28403221211562
"73","富水里",1.34776506912205
"74","富台里",1.20193193190111
"75","富泰里",1.21183570125658
"76","富洲里",1.24090768631953
"77","復華里",1.25990464868465
"78","復建里",1.34120495499811
"79","復盛里",1.26117036552947
"80","復勢里",1.19630731124526
"81","復源里",1.14132615942029
"82","港都里",1.33282806145688
"83","港富里",1.27832385031107
"84","港華里",1.3372397167414
"85","港墘里",1.3625295483987
"86","公館里",1.43724217188427
"87","古風里",1.42100523809524
"88","古莊里",1.25128158534587
"89","關渡里",1.20307188049045
"90","光復里",1.30140918196639
"91","光明里",1.45858614718615
"92","光能里",1.31859903273326
"93","光武里",1.29644251665806
"94","光信里",1.39127300086892
"95","廣居里",1.22991842593001
"96","國慶里",1.21866493372528
"97","國順里",1.2863115355233
"98","國業里",1.2851506629785
"99","合成里",1.25119617925879
"100","和安里",1.29297382276927
"101","和德里",1.20453277443309
"102","和平里",1.35695858648779
"103","河堤里",1.36414918939884
"104","恆安里",1.32565889504098
"105","鴻福里",1.24695781827492
"106","後港里",1.35753193774954
"107","湖濱里",1.23203461657747
"108","湖興里",1.25148612176869
"109","湖元里",1.27776035826608
"110","葫東里",1.45327859329361
"111","葫蘆里",1.28550235933657
"112","葫洲里",1.22079443984988
"113","虎嘯里",1.33689530812325
"114","華江里",1.18734529359529
"115","華聲里",1.17174243487994
"116","華興里",1.26425529864765
"117","華中里",1.20140983236171
"118","惠安里",1.32701086137267
"119","吉利里",1.23800246235246
"120","吉慶里",1.2351905041568
"121","吉仁里",1.26965365782831
"122","吉祥里",1.22181691131595
"123","集英里",1.2439698237294
"124","嘉興里",1.30786800125255
"125","建安里",1.41191414053712
"126","建功里",1.10675927350427
"127","建國里",1.27300641025641
"128","建倫里",1.37781159689076
"129","建民里",1.33687096486372
"130","建明里",1.24714726545724
"131","建泰里",1.26847333333333
"132","劍潭里",1.23852188763617
"133","江寧里",1.23183802137369
"134","江山里",1.35563703219438
"135","介壽里",1.24551952636105
"136","金湖里",1.41284602103841
"137","金龍里",1.45651235171478
"138","金瑞里",1.28725180312215
"139","金泰里",1.2728907913365
"140","錦安里",1.43230672198172
"141","錦德里",1.24162781702384
"142","錦華里",1.1662
"143","錦泰里",1.19591181387916
"144","菁山里",1.09170490620491
"145","精忠里",1.25149931070005
"146","景東里",1.18140178988437
"147","景華里",1.29005820023296
"148","景聯里",1.26926070751448
"149","景美里",1.2662
"150","景勤里",1.22791235875236
"151","景慶里",1.24739646363737
"152","景仁里",1.26967157213196
"153","景新里",1.3023863016539
"154","景星里",1.14360424852925
"155","景行里",1.47087773853762
"156","九如里",1.31208822531812
"157","舊佳里",1.19663813677868
"158","舊莊里",1.21140914898753
"159","聚盛里",1.20291539115646
"160","聚葉里",1.35128665966387
"161","開明里",1.3695305349357
"162","康樂里",1.18977042715426
"163","康寧里",1.29785439697451
"164","蘭興里",1.31309622214421
"165","蘭雅里",1.31615889721578
"166","老泉里",1.2699375
"167","老師里",1.21389366859001
"168","樂康里",1.27832546767263
"169","黎安里",1.37296392806715
"170","黎和里",1.19360905846103
"171","黎明里",1.21236633986928
"172","黎平里",1.2644838558038
"173","黎順里",1.21561359566956
