"","ACTIONID","Count","predict","group","district","town"
"1","DVP0150214",7,1.9506894993895,2,"大同區","南芳里"
"2","DVP0150223",7,1.9811,2,"大同區","南芳里"
"3","DVP0172504",7,1.4725591503268,2,"大同區","南芳里"
"4","DVP0177931",7,1.9584619047619,2,"大同區","南芳里"
"5","DVP0177934",7,1.94862857142857,2,"大同區","南芳里"
"6","DVP0184812",7,1.79524242424242,2,"大同區","南芳里"
"7","DVP0208035",7,1.80517272727273,2,"大同區","南芳里"
"8","DVP0208039",7,1.8835696969697,2,"大同區","南芳里"
"9","DV00599541",5,1.97056666666667,2,"士林區","福順里"
"10","DV00606532",5,1.8782,2,"士林區","福順里"
"11","DVP0142671",5,1.93654271094403,2,"士林區","福順里"
"12","DVP0142680",5,1.5908986957487,2,"士林區","福順里"
"13","DVP0144290",5,1.91623333333333,2,"士林區","福順里"
"14","DVP0144919",5,1.78075333333333,2,"士林區","福順里"
"15","DI00405326",4,1.71003345543346,2,"南港區","成福里"
"16","DI00405398",4,1.71678333333333,2,"內湖區","大湖里"
"17","DI00409221",4,1.9752380952381,2,"南港區","成福里"
"18","DI00409467",4,1.91383333333333,2,"萬華區","興德里"
"19","DV00576183",4,1.93851381890383,2,"萬華區","興德里"
"20","DV00576302",4,1.87067990953491,2,"萬華區","興德里"
"21","DV00663841",4,1.76709206349206,2,"中山區","圓山里"
"22","DV00663842",4,1.9195619047619,2,"中山區","圓山里"
"23","DV00668161",4,1.84040396825397,2,"萬華區","忠貞里"
"24","DV00675030",4,1.6889,2,"萬華區","忠貞里"
"25","DV00675054",4,1.98094444444444,2,"萬華區","忠貞里"
"26","DV00675406",4,1.99123333333333,2,"南港區","玉成里"
"27","DV00675420",4,1.96823333333333,2,"南港區","玉成里"
"28","DV00690179",4,1.89128614718615,2,"中山區","圓山里"
"29","DV00718772",4,1.9402753968254,2,"萬華區","興德里"
"30","DVP0136809",4,1.81712097857423,2,"萬華區","興德里"
"31","DVP0144073",4,1.8998163059163,2,"中山區","圓山里"
"32","DVP0160549",4,1.1786768863919,2,"士林區","福順里"
"33","DVP0165592",4,1.848253781931,2,"士林區","福順里"
"34","DVP0167179",4,1.88176666666667,2,"南港區","成福里"
"35","DVP0167893",4,1.83728113275613,2,"南港區","玉成里"
"36","DVP0168634",4,1.32419063959776,2,"內湖區","大湖里"
"37","DVP0173694",4,1.84756262626263,2,"中山區","圓山里"
"38","DVP0179750",4,1.87415658780877,2,"士林區","福順里"
"39","DVP0179751",4,1.99098376382819,2,"士林區","福順里"
"40","DVP0181094",4,1.96415714285714,2,"中山區","圓山里"
"41","DVP0200598",4,1.95501111111111,2,"文山區","景行里"
"42","DVP0204159",4,1.94252588522588,2,"內湖區","大湖里"
"43","DVP0206279",4,1.95838137254902,2,"萬華區","興德里"
"44","DVP0206391",4,1.91899473684211,2,"萬華區","興德里"
"45","DVP0207444",4,1.8312,2,"內湖區","大湖里"
"46","DI00400275",3,1.87377133813898,2,"信義區","正和里"
"47","DI00402931",3,1.9258,2,"士林區","芝山里"
"48","DI00404455",3,1.94276666666667,2,"大安區","建安里"
"49","DI00404519",3,1.9575,2,"士林區","天玉里"
"50","DI00405089",3,1.86976181041181,2,"南港區","成福里"
"51","DI00406008",3,1.95913333333333,2,"內湖區","金龍里"
"52","DI00406480",3,1.35650952380952,2,"大安區","光武里"
"53","DI00406699",3,1.94031024531025,2,"士林區","天祿里"
"54","DI00407035",3,1.7635,2,"中正區","網溪里"
"55","DI00407317",3,1.99457777777778,2,"萬華區","忠德里"
"56","DI00407939",3,1.9388,2,"內湖區","清白里"
"57","DI00409535",3,1.97814083694084,2,"中正區","文北里"
"58","DI00409756",3,1.75921633684943,2,"松山區","東榮里"
"59","DI00409759",3,1.88963415865181,2,"松山區","東榮里"
"60","DV00579734",3,1.89276666666667,2,"信義區","正和里"
"61","DV00581582",3,1.77640411255411,2,"士林區","天祿里"
"62","DV00583901",3,1.93731418702071,2,"北投區","桃源里"
"63","DV00584224",3,1.96045,2,"內湖區","金湖里"
"64","DV00584494",3,1.9068,2,"士林區","天祿里"
"65","DV00590281",3,1.9322,2,"士林區","天祿里"
"66","DV00591627",3,1.9843,2,"信義區","泰和里"
"67","DV00599010",3,1.59850158730159,2,"松山區","富錦里"
"68","DV00599061",3,1.669,2,"松山區","東榮里"
"69","DV00599124",3,1.9792,2,"松山區","富錦里"
"70","DV00607108",3,1.98936666666667,2,"士林區","天祿里"
"71","DV00607159",3,2,2,"士林區","天祿里"
"72","DV00607159",3,2,2,"士林區","天祿里"
"73","DV00607648",3,1.96943802308802,2,"士林區","天祿里"
"74","DV00613381",3,1.90648571428571,2,"萬華區","興德里"
"75","DV00614228",3,1.66768571428572,2,"中山區","朱園里"
"76","DV00620142",3,1.92683333333333,2,"松山區","復盛里"
"77","DV00649241",3,1.82932323232323,2,"內湖區","港墘里"
"78","DV00652124",3,1.93239523809524,2,"大安區","建安里"
"79","DV00655818",3,1.80704285714286,2,"松山區","東榮里"
"80","DV00666044",3,1.82849985532441,2,"大安區","建安里"
"81","DV00666134",3,1.97133333333333,2,"大安區","建安里"
"82","DV00671558",3,1.82816666666667,2,"內湖區","金湖里"
"83","DV00671571",3,1.97348227106227,2,"內湖區","金湖里"
"84","DV00672652",3,1.78468095238095,2,"萬華區","興德里"
"85","DV00674694",3,1.98626825396825,2,"文山區","興得里"
"86","DV00680945",3,1.94845131868132,2,"內湖區","金湖里"
"87","DV00681897",3,1.88181818181818,2,"信義區","正和里"
"88","DV00693070",3,1.81969163614164,2,"文山區","景行里"
"89","DV00695641",3,1.86115555555556,2,"松山區","莊敬里"
"90","DV00696860",3,1.6644188034188,2,"內湖區","金龍里"
"91","DV00701654",3,1.97243333333333,2,"中山區","朱園里"
"92","DV00703625",3,1.66567922077922,2,"內湖區","金湖里"
"93","DV00704174",3,1.94383333333333,2,"南港區","聯成里"
"94","DV00705729",3,1.96776666666667,2,"信義區","泰和里"
"95","DV00714749",3,1.72343333333333,2,"文山區","景行里"
"96","DV00714910",3,1.86294761904762,2,"文山區","景行里"
"97","DV00720341",3,1.90666666666667,2,"士林區","天玉里"
"98","DV00720704",3,1.67938787878788,2,"萬華區","興德里"
"99","DV00721805",3,1.83865665522502,2,"中正區","文北里"
"100","DV00721852",3,1.77593391608392,2,"中正區","文北里"
"101","DV00723632",3,1.93218873087697,2,"士林區","天和里"
"102","DV00725399",3,1.89353333333333,2,"內湖區","金湖里"
"103","DVP0137274",3,1.91410383394383,2,"內湖區","港墘里"
"104","DVP0137358",3,1.71206480741481,2,"信義區","正和里"
"105","DVP0137635",3,1.96936666666667,2,"內湖區","清白里"
"106","DVP0140482",3,1.79203095238095,2,"信義區","泰和里"
"107","DVP0142550",3,1.48474307751072,2,"松山區","東榮里"
"108","DVP0142758",3,1.90847777777778,2,"信義區","雅祥里"
"109","DVP0142824",3,1.848253781931,2,"士林區","天和里"
"110","DVP0144085",3,1.76547619047619,2,"內湖區","西康里"
"111","DVP0144494",3,1.98547556887557,2,"中正區","網溪里"
"112","DVP0144743",3,1.73105739244416,2,"士林區","天祿里"
"113","DVP0145493",3,1.73608178932179,2,"士林區","福華里"
"114","DVP0145495",3,1.8016,2,"士林區","福華里"
"115","DVP0146202",3,1.97423333333333,2,"內湖區","金龍里"
"116","DVP0146744",3,1.86946666666667,2,"中山區","朱園里"
"117","DVP0148597",3,1.92732451052216,2,"松山區","東榮里"
"118","DVP0148662",3,1.96481666666667,2,"松山區","東榮里"
"119","DVP0149203",3,1.95639581307581,2,"文山區","樟文里"
"120","DVP0149787",3,1.91473349282297,2,"南港區","聯成里"
"121","DVP0150530",3,1.88078629148629,2,"士林區","芝山里"
"122","DVP0150540",3,1.95886938527923,2,"士林區","芝山里"
"123","DVP0153011",3,1.91415,2,"北投區","長安里"
"124","DVP0153210",3,1.93005,2,"北投區","長安里"
"125","DVP0154443",3,1.97281024531024,2,"士林區","後港里"
"126","DVP0155614",3,1.751,2,"中山區","朱園里"
"127","DVP0155664",3,1.69844536754096,2,"內湖區","港墘里"
"128","DVP0156482",3,1.93678226682321,2,"大安區","建安里"
"129","DVP0157473",3,1.95585,2,"松山區","東榮里"
"130","DVP0157759",3,1.93220238095238,2,"內湖區","港墘里"
"131","DVP0160469",3,1.68045873015873,2,"中正區","文北里"
"132","DVP0160499",3,1.90263333333333,2,"大安區","建安里"
"133","DVP0161075",3,1.94377739862477,2,"士林區","芝山里"
"134","DVP0161078",3,1.95886938527923,2,"士林區","芝山里"
"135","DVP0161263",3,1.4068898989899,2,"南港區","聯成里"
"136","DVP0161678",3,1.74307994191481,2,"萬華區","興德里"
"137","DVP0164351",3,1.52735432900433,2,"內湖區","清白里"
"138","DVP0164616",3,1.91276666666667,2,"內湖區","金龍里"
"139","DVP0166020",3,1.99003787878788,2,"士林區","葫東里"
